"","X","status","county","incident_date","year","quarter","clean_prior_status","prior_status","narrative"
"1008",1194,"fatality","Tioga",2021-08-23,2021,2021-07-01,"Y","The family was previously known to child welfare.","13.) A 5-month-old male child died on August 23, 2021, as a result of physical abuse.Tioga County Department of Human Services indicated the report on February 18,2022, naming the victim child’s mother as the perpetrator. On the date of the incident,the mother went into the victim child’s bedroom and found the child not moving, stiff,and purple in color; the mother contacted emergency medical services and begancardiopulmonary resuscitation. The child was transported to the local emergencydepartment and was pronounced dead, it was noted that the child had been dead forhours. It was determined through the investigation that the mother placed the child inunsafe sleeping conditions. There were no other children in the home at the time of theincident. At the time the report was indicated, the criminal investigation was pending.The family was previously known to child welfare.Wayne"
"1009",1195,"fatality","Wayne",2019-09-25,2019,2019-07-01,"Y","The family was previously known to child welfare.","14.) A 3-month-old female child died on September 25, 2019, as a result of physical abuse.Wayne County Children and Youth Services founded the report on February 25, 2022,naming the victim child’s father and mother as the perpetrators. On the date of theincident, it was reported the victim child was asleep on the couch and was foundunresponsive therefore emergency medical services (EMS) were contacted. EMSarrived and found the child stiff, cool to the touch, and in a supine position, andbruising to the face, head, and lower extremities. The child was transported to the localhospital and was pronounced dead. Medical testing revealed healed and currentbroken ribs, a broken arm, a severe diaper rash, and multiple bruises. It wasdetermined through the investigation that the mother and the father were the solecaregivers of the child at the time the injuries were sustained, and the mother and thefather provided law enforcement with inconsistent accounts of the incident. As theresult of the safety assessment completed, the two other child in the home at the timeof the incident, were placed with a relative and services were provided. At the time thereport was founded, the mother and the father had a disposition of criminal charges.The family was previously known to child welfare.York"
"1010",1196,"fatality","York",2021-11-18,2021,2021-10-01,"Y"," The family was previously known to child welfare.","15.) A 6-year-old female child died on November 18, 2021, as a result physical abuse. YorkCounty Office of Children Youth and Families indicated the report on January 14,2022, naming the victim child’s father and father’s paramour as the perpetrators. Onthe date of the incident, a vehicular police pursuit began which ended with the vehicledriving off the road and hitting a fence; all of the passengers in the vehicle weredetermined to have sustained gunshot wounds and were deceased. It was reportedthat on November 14, 2021, the father kidnapped the victim child at gunpoint on andeluded the police for several days which ended in the vehicular police pursuit. It wasdetermined through the investigation that the child died as a result of a gunshot woundand the father and the father’s paramour shot and killed the victim child and thenthemselves. There was one other child in the home at the time of the incident who alsodied as a result of this incident. At the time the report was indicated, no criminalcharges had been filed. The family was previously known to child welfare.5July 19, 20242022 1st Quarter Fatalities/Near FatalitiesJanuary 1 to March 31, 2022"
"1011",1197,"fatality","York",2021-11-18,2021,2021-10-01,"Y"," The family was previously known to child welfare.","16.) A 7-year-old female child died on November 18, 2021, as a result physical abuse.York County Office of Children Youth and Families indicated the report on January 14,2022, naming the victim child’s father and father’s paramour as the perpetrators. Onthe date of the incident, a vehicular police pursuit began which ended with the vehicledriving off the road and hitting a fence; all of the passengers in the vehicle weredetermined to have sustained gunshot wounds and were deceased. It was reportedthat on November 14, 2021, the father kidnapped the victim child at gunpoint on andeluded the police for several days which ended in the vehicular police pursuit. It wasdetermined through the investigation that the child died as a result of a gunshot woundand the father and the father’s paramour shot and killed the victim child and thenthemselves. There was one other child in the home at the time of the incident who alsodied as a result of this incident. At the time the report was indicated, no criminalcharges had been filed. The family was previously known to child welfare.Near FatalitiesAllegheny"
"1012",1199,"near fatality","Allegheny",2022-02-15,2022,2022-01-01,"Y"," The family was previously known to child welfare.","2.) A 12-month-old female child nearly died on February 15, 2022, as a result of seriousphysical neglect. Allegheny County Office of Children, Youth, and Families indicatedthe report on March 23, 2022, naming the victim child’s father as the perpetrator. Onthe date of the incident, it was reported the victim child was napping in a playpen andwhen the father picked the child up, the child was unresponsive; the father initiatedcardiopulmonary resuscitation and emergency medical services (EMS) werecontacted. Upon arrival of EMS, the child showed signs of substance overdosetherefore Narcan was administered. It was determined through the investigation, thatthe father was the sole caregiver at the time of the incident. As the result of the safetyassessment completed, the victim child was placed in kinship care and the three otherchildren in the home at the time of the incident were placed with their respective father.The family received services. At the time the report was indicated, the criminalinvestigation was pending. The family was previously known to child welfare.6July 19, 20242022 1st Quarter Fatalities/Near FatalitiesJanuary 1 to March 31, 2022"
"1013",1200,"near fatality","Allegheny",2021-11-16,2021,2021-10-01,"Y"," The family was previously knownchild welfare.","3.) A 10-month-old male child nearly died on November 16, 2021, as a result of seriousphysical neglect. Allegheny County Office of Children, Youth and Families indicatedthe report on January 11, 2022, naming an unknown perpetrator. On the date of theincident, it was reported the victim child was found unresponsive and emergencymedical services were contacted. The child was transported to the regional pediatrichospital and drug screening was administered which revealed the child was positivefor an illegal substance. It was determined through the investigation that the childingested an illegal substance however, it could not be determined who was thecaregiver at the time of the incident. As the result of the safety assessment completedthe victim child and the five other children in the home at the time of the incident wereplaced in foster care and the family received services. At the time the report wasindicated, the criminal investigation was pending. The family was previously knownchild welfare.Bedford"
"1014",1201,"near fatality","Bedford",2021-12-13,2021,2021-10-01,"Y"," The family was previously known to child welfare.","4.) A 5-year-old male child nearly died on December 13, 2021, as a result of seriousphysical neglect. Bedford County Children and Youth Services indicated the report onFebruary 2, 2022, naming the victim child’s stepfather as the perpetrator. On the dateof the incident, the victim child was shot in the head with a pellet gun by the stepfatherwhile the stepfather was target shooting. The child was life flighted to a hospital andpresented with swelling and hemorrhaging of the brain. It was determined through theinvestigation that the stepfather admitted to shooting the child with a pellet gun. As theresult of the safety assessment completed, the victim child and five other children inthe home at the time of the incident remained in the care of the mother and serviceswere provided. At the time the report was indicated, the stepfather had been criminallycharged. The family was previously known to child welfare."
"1015",1203,"near fatality","Berks",2021-12-03,2021,2021-10-01,"Y"," The family was previously knownto child welfare.","6.) A 4-month-old male child nearly died on December 3, 2021, as a result of physicalabuse. Berks County Children and Youth Services indicated the report on January 28,2022, naming the victim child’s mother and father as the perpetrators. On the date ofthe incident, it was reported that the victim child had been hit by victim child’s motherand thrown by victim child’s father, during a domestic dispute and emergency serviceswere contacted. The child was transported to the hospital and presented with a skullfracture and hemorrhaging to the brain, specifically a subgalea hematoma, subduralhematoma, and cervical spine edema. It was determined through the investigationthat the mother and the father were engaging in a domestic dispute which caused theinjuries sustained by the child. As the result of the safety assessment completed thevictim child and the one other child in the home at the time of the incident were placedin kinship care and services were provided. At the time the report was indicated, themother and the father had been criminally charged. The family was previously knownto child welfare."
"1016",1206,"near fatality","Bradford",2021-12-14,2021,2021-10-01,"Y"," The family was previously known to child welfare.","9.) A 16-month-old female child nearly died on December 14, 2021, as a result of physicalabuse. Bradford County Children and Youth Services indicated the report on February7, 2022, naming the victim child’s father and father’s paramour as the perpetrators. Onthe date of the incident, the victim child was found unresponsive, and emergencyservices were contacted. Upon arrival at the hospital, the child was found to havebruises and contusions to the arms, lower extremities, head, and face, a laceration onthe temple, retinal hemorrhaging, and a brain injury. It was determined through theinvestigation that the father’s paramour admitted to hitting the child and the fatheradmitted that he had suspected his paramour had been abusing the child. As the resultof the safety assessment completed, the victim child and the one other child in thehome at the time at the time of the incident were placed with relatives, two otherchildren in the home at the time of the incident were placed in foster care, and the oneother child in the home at the time of the incident remained with their respectivemother. The family received services. At the time the report was indicated, no criminalcharges had been filed against the father and the father’s paramour had beencriminally charged. The family was previously known to child welfare.Bucks"
"1017",1213,"near fatality","Dauphin",2022-01-31,2022,2022-01-01,"Y"," The family was previously known to child welfare.","16.) A 1-month-old male child nearly died on January 31, 2022, as a result of physicalabuse. Dauphin County Social Services for Children and Youth founded the report onMarch 29, 2022, naming the victim child’s father as the perpetrator. On the date of theincident, the victim child presented to the hospital due to a fever and seizure likeactivity. A computerized tomography scan revealed significant trauma to the head andbleeding to the brain. It was determined through the investigation that the fatheradmitted to shaking the child out of frustration causing the injuries sustained by thechild. As the result of the safety assessment completed, the victim child and one otherchild in the home at the time of the incident were place in foster care and serviceswere provided. At the time the report was founded, the father had been criminallycharged. The family was previously known to child welfare."
"1018",1214,"near fatality","Dauphin",2021-12-19,2021,2021-10-01,"Y"," The family was previously known to child welfare.","17.) A 4-year-old male child nearly died on December 19, 2021, as a result of seriousphysical neglect. Dauphin County Social Services for Children and Youth indicated thereport on February 17, 2022, naming the victim child’s father as the perpetrator. On thedate of the incident, emergency medical services were contacted by the father afterthe victim child was shot by an unsecured gun in the home. It was determined throughthe investigation that the father fell asleep, and the child was able to obtain access tounsecured firearms in the home. As the result of the safety assessment completed, thevictim child and two other children in the home at the time of the incident were placedwith relatives and services were provided. At the time the report was indicated thefather had been criminally charged. The family was previously known to child welfare.11July 19, 20242022 1st Quarter Fatalities/Near FatalitiesJanuary 1 to March 31, 2022Delaware"
"1019",1217,"near fatality","Erie",2022-02-01,2022,2022-01-01,"Y","The family was previously known to child welfare.","20.) A 15-month-old female child nearly died on February 1, 2022, as a result of seriousphysical neglect. Erie County Office of Children and Youth indicated the report onMarch 11, 2022, naming the victim child’s father as the perpetrator. On the date of theincident, the victim child’s mother contacted emergency medical services due to thechild becoming unresponsive. The child was transported to the local hospital andsubsequently transferred to the local pediatric hospital. The child tested positive forillegal substances. It was determined through the investigation that the father was thesole caregiver of the child at the time the substances were ingested. As the result ofthe safety assessment completed, the victim child and the two other children in thehome at the time of the incident were placed with a relative and services wereprovided. At the time the report was indicated, the criminal investigation was pending.The family was previously known to child welfare.12July 19, 20242022 1st Quarter Fatalities/Near FatalitiesJanuary 1 to March 31, 2022Fayette"
"1020",1219,"near fatality","Franklin",2022-12-09,2022,2022-10-01,"Y"," The family was previously known to child welfare.","22.) A 16-year-old male child nearly died on December 9, 2022, as a result of seriousphysical neglect. Franklin County Children and Youth Services indicated the report onMarch 4, 2022, naming the victim child’s mother as the perpetrator. On the date of theincident, the victim child was taken to the emergency room and presented with severemalnourishment and large ulcers that had not been receiving appropriate wound care.It was determined through the investigation that the mother missed several medicalappointments for the child and could not provide an explanation for the missedappointments or why the child was not receiving appropriate medical care. As theresult of the safety assessment completed, the victim child and the two other childrenin the home at the time of the incident were placed in foster care and services wereprovided. At the time the report was indicated, the mother had been criminallycharged. The family was previously known to child welfare.Greene"
"1021",1221,"near fatality","Lackawanna",2022-01-21,2022,2022-01-01,"Y"," The family was previously known to childwelfare.","24.) A 12-month-old male child nearly died on January 21, 2022, as a result of seriousphysical neglect. Lackawanna County Office of Youth and Family Services indicatedthe report on March 21, 2022, naming the victim child’s father as the perpetrator. Onthe date of the incident, the victim child was found unresponsive by the mother and themother transported the child to the hospital. The child presented at the hospital,hypothermic, with critically low blood sugar, and a high blood alcohol level. It wasdetermined through the investigation that the father was sole caregiver of the child atthe time of the ingested the alcohol. As the result of the safety assessment completed,the victim child and the one other child in the home at the time of the incident wereplaced in foster care and services were provided. At the time the report was indicated,the father had been criminally charged. The family was previously known to childwelfare."
"1022",1222,"near fatality","Lackawanna",2021-12-04,2021,2021-10-01,"Y","The family was previously known to child welfare.","25.) A 9-month-old female child nearly died on December 4, 2021, as a result of physicalabuse. Lackawanna County Office of Youth and Family Services indicated the reporton January 5, 2022, naming the victim child’s mother’s paramour as the perpetrator.On the date of the incident, the victim child presented at a local emergency room incardiac arrest. Further medical evaluation revealed, fractured ribs, substantial bruisingto the buttocks, eye, chest, and abdomen, a laceration to the spleen, and damage tothe heart and liver. It was determined through the investigation that the mother’sparamour admitted to shaking the child on the date of the incident. As the result of thesafety assessment completed, the victim child and the two other children in the homeat the time of the incident were placed with the father and services were provided. Atthe time the report was indicated, the mother’s paramour had been criminally charged.The family was previously known to child welfare.Lancaster"
"1023",1223,"near fatality","Lancaster",2022-01-09,2022,2022-01-01,"Y"," The family was previously known to childwelfare.","26.) A 1-month-old male child nearly died on January 9, 2022, as a result of physicalabuse. Lancaster County Children and Youth Social Services Agency indicated thereport on February 22, 2022, naming the victim child’s mother, father, paternalgrandmother, and paternal grandfather as the perpetrators. On the date of the incident,the victim child awoke from a nap and was reported to be lethargic therefore the childwas transported to the local hospital. The child presented at the hospital with a brainbleed, lateral hemorrhages in both eyes, and various bruising on the trunk. The injuriessustained were determined to be non-accidental trauma. It was determined throughthe investigation that an explanation was not provided by the household members asto how the child sustained the injuries. As the result of the safety assessmentcompleted, the victim and the one other child in the home at the time of the incidentwere placed with a relative and services were provided. At the time the report wasindicated, no criminal charges had been filed. The family was previously known to childwelfare.14July 19, 20242022 1st Quarter Fatalities/Near FatalitiesJanuary 1 to March 31, 2022Lehigh"
"1024",1224,"near fatality","Lehigh",2022-01-04,2022,2022-01-01,"Y"," The family was previously known to child welfare.","27.) A 9-month-old female child nearly died on January 4, 2022, as a result of physicalabuse. Lehigh County Office of Children and Youth Services indicated the report onMarch 1, 2022, naming the victim child’s father as the perpetrator. On the date of theincident, the victim child was brought to the local hospital unresponsive, and drugparaphernalia was found on the child. The child was administered Narcan, respondedpositively and a toxicology screening revealed the child tested positive for illegalsubstances. It was determined through the investigation that the father admitted tousing the illegal substances and leaving the illegal substance accessible to the child.As the result of the safety assessment completed, the victim child and the two otherchildren in the home at the time of the incident were placed in foster care and serviceswere provided. At the time the report was indicated, no criminal charges had beenfiled. The family was previously known to child welfare.Luzerne"
"1025",1227,"near fatality","Montgomery",2021-12-24,2021,2021-10-01,"Y"," The family waspreviously known to child welfare.","30.) A 14-month-old male child nearly died on December 24, 2021, as a result of seriousphysical neglect. Montgomery County Office of Children and Youth indicated the reporton February 16, 2022, naming the victim child’s mother as the perpetrator. On the dateof the incident, it was reported the victim child ingested illegal substances, becameunresponsive, and emergency services were contacted. The child was administeredNaloxone and responded positively. It was determined through the investigation thatthe mother left illegal substances accessible to the child. As the result of the safetyassessment completed, the victim child was placed with a relative and services wereprovided. There were no other children in the home at the time of the incident. At thetime the report was indicated, the criminal investigation was pending. The family waspreviously known to child welfare.Northumberland"
"1026",1228,"near fatality","Northumberland",2021-12-22,2021,2021-10-01,"Y"," The family was previously knownto child welfare.","31.) A 6-month-old male child nearly died on December 22, 2021, as a result of seriousphysical neglect. Northumberland County Children and Youth Services indicated thereport on February 23, 2022, naming the victim child’s caretaker as the perpetrator. Onthe date of the incident, the victim child was unresponsive, cardiopulmonaryresuscitation was performed, and emergency medical services were contacted. Thechild was transported to the local hospital and upon arrival required Narcan due toingestion of an illegal substance and responded positively. It was determined throughthe investigation that the caretaker was the sole caregiver at the time the childingested the illegal substance. As the result of the safety assessment completed, thevictim child and the one other child in the home at the time of the incident remained inthe care of the mother and no services were provided. At the time the report wasindicated, the caretake had been criminally charged. The family was previously knownto child welfare.Philadelphia"
"1027",1229,"near fatality","Philadelphia",2021-12-14,2021,2021-10-01,"Y"," The family was previously known to child welfare.","32.) A 6-month-old male child nearly died on December 14, 2021, as a result of seriousphysical neglect. Philadelphia Department of Human Services indicated the report onJanuary 12, 2022, naming the victim child’s mother as the perpetrator. On the date ofthe incident, it was reported the victim child was napping and rolled off the bed underthe radiator; the child sustained burns and the child’s mother contacted emergencymedical services (EMS). EMS transported the child to the hospital where the childpresented with third degree burns. It was determined through the investigation that themother left the child unsupervised which led to the injuries sustained by the child. Asthe result of the safety assessment completed the victim child remained in the homewith mother and services were provided. At the time the report was indicated, thecriminal investigation was pending. The family was previously known to child welfare."
"1028",1232,"near fatality","Philadelphia",2022-01-03,2022,2022-01-01,"Y"," The family waspreviously known to child welfare.","35.) A 1-month-old male child nearly died on January 3, 2022, as a result of physicalabuse. Philadelphia Department of Human Services indicated the report on February9, 2022, naming the victim child’s mother and father as the perpetrators. On the dateof the incident, the victim child presented at the local children’s hospital with extensiveunexplained bruising to multiple areas of the body and intracranial bleeding. It wasdetermined through the investigation that the injuries sustained were indicative of non-accidental trauma and the mother and the father were the sole caregivers at the timeof the incident. As the result of the safety assessment completed, the victim childremains hospitalized and the one other child in the home at the time of the incidentwere placed with a relative. The family received services. At the time the report wasindicated, the mother and the father had been criminally charged. The family waspreviously known to child welfare.Warren"
"1029",1233,"near fatality","Warren",2021-12-02,2021,2021-10-01,"Y"," The family was previously known to childwelfare.","36.) A 19-month-old male child nearly died on December 2, 2021, as a result of seriousphysical neglect. Warren County Children and Youth Services indicated the report onJanuary 27, 2022, naming the victim child’s mother as the perpetrator. On the date ofthe incident, the victim child was found lethargic by the mother and emergency medicalservices were contacted. A toxicology screening revealed the child had ingestedprescription medication. It was determined through the investigation that the motherwas the sole caregiver of the child at the time of the ingestion. As the result of thesafety assessment completed, the victim was placed in foster care. There were noother children in the home at the time of the incident. At the time the report wasindicated, no criminal charges had been filed. The family was previously known to childwelfare.17July 19, 20242022 1st Quarter Fatalities/Near FatalitiesJanuary 1 to March 31, 2022Westmoreland"
"1030",1235,"near fatality","Westmoreland",2021-12-25,2021,2021-10-01,"Y"," The familywas previously known to child welfare.","38.) A 3-year-old female child nearly died on December 25, 2021, as a result of seriousphysical neglect and physical abuse. Westmoreland County Children’s Bureauindicated the report on February 22, 2022, naming the child’s mother as theperpetrator. On the date of incident, it was reported the victim child ingested Unisom, asleeping medication, began to exhibit seizure-like symptoms, and emergency serviceswere contacted. Upon arrival at the hospital, a toxicology screening revealed that thechild ingested prescription medication and an illegal substance. It was determinedthrough the investigation that the mother provided inconsistent accounts of thecircumstances leading to the child’s ingestion. As the result of the safety assessmentcompleted, the victim child and the three other children in the home at the time of theincident remained in the care of the mother with a relative supervising all contact. Atthe time the report was indicated, the mother had been criminally charged. The familywas previously known to child welfare.18July 19, 2024"
"1031",1236,"fatality","Bucks",2022-01-07,2022,2022-01-01,"Y"," The family waspreviously known to child welfare.","1.) A 3-month-old male child died on January 7, 2022, as a result of serious physicalneglect. The Department of Human Services, Office of Children, Youth, and Families’Southeast Regional Office indicated the report on April 21, 2022, naming the victimchild’s mother, father, and maternal grandmother as the perpetrators. On the date of theincident, emergency services responded to a call that the victim child was in cardiacarrest. The child was transported to the hospital and pronounced dead. Illegalsubstances and drug paraphernalia were found in the room when emergency servicesresponded to the home. An autopsy revealed the cause of death was ingestion of anillegal substance. It was determined through the investigation that the maternalgrandmother violated a safety plan in place which required visits with the child’s motherand father to be supervised; the mother and the father were left unsupervised with thechild in their home with an illegal substances and drug paraphernalia present. As theresult of the safety assessment completed, the one other child in the home at the time ofthe incident was placed in kinship foster care and services were provided. At the timethe report was indicated, the criminal investigation was pending. The family waspreviously known to child welfare."
"1032",1239,"fatality","Cambria",2022-04-01,2022,2022-04-01,"Y"," The family was previously known to child welfare.","4.) A 14-month-old female child died on April 1, 2022, as a result of physical abuse. CambriaCounty Children and Youth Services indicated the report on May 20, 2022, naming thevictim child’s mother as the perpetrator. On the date of the incident, it was reported athud was heard, and the victim child was found by the mother not breathing and incardiac arrest. Emergency services were contacted, and the child was transported to thelocal hospital and subsequently pronounced dead. An autopsy revealed the child died asa result of exsanguination and blunt force trauma and the death was ruled a homicide. Itwas determined through the investigation that the mother caused the death of the child.1December 28, 20222022 2nd Quarter Fatalities/Near FatalitiesApril 1 to June 30, 2022There were no other children in the home at the time of the incident and no serviceswere provided. At the time the report was indicated, the mother had been criminallycharged. The family was previously known to child welfare.Chester"
"1033",1242,"fatality","Dauphin",2022-02-25,2022,2022-01-01,"Y"," The familywas previously known to child welfare.","7.) A 2-month-old male child died on February 25, 2022, as a result of physical abuse.Dauphin County Social Services for Children and Youth indicated the report on April 6,2022, naming the victim child’s mother as the perpetrator. On the date of the incident,the victim child was found unresponsive, and the mother contacted emergency medicalservices. The child was pronounced dead, and it was determined the child had beendeceased for several hours. An autopsy revealed the preliminary cause of death wasdetermined to be asphyxiation. It was determined through the investigation that themother was under the influence of illegal substances and alcohol at the time of theincident. As the result of the safety assessment completed, the one other child in thehome at the time of the incident was placed in kinship care and services were provided.At the time the report was indicated, the criminal investigation was pending. The familywas previously known to child welfare."
"1034",1244,"fatality","Delaware",2022-04-05,2022,2022-04-01,"Y"," The family was previously known to child welfare.","9.) A 4-year-old female child died on April 5, 2022, as a result of serious physical neglect.Delaware County Children and Youth Services indicated the report on June 3, 2022,naming the victim child’s father and a family friend as the perpetrators. On the date ofthe incident, the victim child suffered a gunshot wound to the abdomen. The child diedas a result of gunshot wound sustained. It was determined through the investigation, thatwhile in the care of the father and the family friend the child was not properly secured inthe car seat which left the child accessibility to the unsecured gun in the vehicle at thetime of the incident. As the result of the safety assessment completed, the three otherchildren in the home at the time of the incident remained in the home and no serviceswere provided. At the time the report was indicated, the criminal investigation waspending. The family was previously known to child welfare.Franklin"
"1035",1245,"fatality","Franklin",2021-05-26,2021,2021-04-01,"Y"," The family was previously known to childwelfare.","10.) A 6-day-old male child died on May 26, 2021, as a result of physical abuse. FranklinCounty Children and Youth Services indicated the report on May 5, 2022, naming thevictim child’s mother and father as the perpetrators. On the date of the incident, it wasreported the mother fell asleep while feeding the victim child and the child becameunresponsive. Emergency services were contacted, and the child was transported tothe hospital and pronounced dead. The results of the autopsy were received in April2022, which revealed the child died as a result of positional asphyxia. It was determinedthrough the investigation that the mother and the father were under the influence ofillegal substances at the time of the incident. As the result of the safety assessmentcompleted, the one other child in the home at the time of the incident was placed infoster care and services were provided. At the time the report was indicated, the motherand the father had been criminally charged. The family was previously known to childwelfare.Luzerne"
"1036",1246,"fatality","Luzerne",2021-12-30,2021,2021-10-01,"Y"," The family was previously known tochild welfare.","11.) A 17-year-old female child died on December 30, 2021, as a result of physical abuse.Luzerne County Children and Youth Agency indicated the report on April 21, 2022,naming the victim child’s mother and mother’s paramour as the perpetrators. On thedate of the incident, the victim child died as the result of an illegal substance overdose.It was determined through the investigation, that the mother’s paramour provided theillegal substances to the child and the mother was aware the child was using illegalsubstances and assisted in payment for the illegal substances. As the result of thesafety assessment completed, the two other children in the home at the time of theincident were placed in kinship care and the other child in the home at the time of theincident was placed with their respective father. The family received services. At thetime the report was indicated, the mother’s paramour had been criminally charged andthe mother’s criminal investigation was pending. The family was previously known tochild welfare.Lycoming"
"1037",1247,"fatality","Lycoming",2017-08-11,2017,2017-07-01,"Y"," The family was previously known to child welfare.","12.) A 5-year-old female child died on August 11, 2017, as a result of physical abuse.Lycoming County Children and Youth Services indicated the report on June 10, 2022,3December 28, 20222022 2nd Quarter Fatalities/Near FatalitiesApril 1 to June 30, 2022naming the victim child’s mother, the mother’s paramour, and two other householdmembers as the perpetrators. On November 7, 2021, it was reported the remains of thevictim child and a sibling were found buried in the yard of the family home. It wasdetermined through the investigation that the child died and was buried in the yard inAugust 2017; the mother’s paramour starved and tortured the child, the motheradmitted to being involved in the acts that led to the child’s death, and the two otherhousehold members were aware the child was dead and buried in the yard. As theresult of the safety assessment completed, the one other child in the home at the timeof the incident was placed in foster care and the sibling in the home at the time of theincident also died as a result of the incident. The sibling was also the subject of afatality report. The family received services. At the time the report was indicated, themother, the mother’s paramour, and the two other household members had beencriminally charged. The family was previously known to child welfare."
"1038",1248,"fatality","Lycoming",2022-05-19,2022,2022-04-01,"Y"," The family was previously known to child welfare.","13.) A 6-year-old female child died on May, 10, 2016, as a result of serious physical abuse.Lycoming County Children and Youth Services indicated the report on May 19, 2022,naming the victim child’s mother, the mother’s paramour, and two other householdmembers as the perpetrators. On November 7, 2021, it was reported the remains of thevictim child and a sibling were found buried in the yard of the family home. It wasdetermined through the investigation that the child died and was buried in the yard inMay 2016; the mother’s paramour starved and tortured the child, the mother admitted tobeing involved in the acts that led to the child’s death, and the two other householdmembers were aware the child was dead and buried in the yard. As the result of thesafety assessment completed, the one other child in the home at the time of theincident was placed in foster care and the sibling in the home at the time of the incidentalso died as a result of the incident. The sibling was also the subject of a fatality report.The family received services. At the time the report was indicated, the mother, themother’s paramour, and the two other household members had been criminallycharged. The family was previously known to child welfare.Montgomery"
"1039",1250,"fatality","Monroe",2021-08-01,2021,2021-07-01,"Y"," The family was previously known to child welfare.","15.) A 3-month-old male child died on August 1, 2021, as a result of physical abuse. MonroeCounty Children and Youth Services indicated the report on May 10, 2022, naming the4December 28, 20222022 2nd Quarter Fatalities/Near FatalitiesApril 1 to June 30, 2022victim child’s father as the perpetrator. On the date of the incident, it was reported thevictim child was found unresponsive by the father and emergency medical serviceswere contacted; the child was transported to the hospital and subsequently pronounceddead. An autopsy revealed the child died as a result of blunt force trauma to the head. Itwas determined through the investigation, that the father was the sole caregiver of thechild at the time of the incident. There were no other children in the home at the time ofthe incident and no services were provided. At the time the report was indicated, thefather had been criminally charged. The family was previously known to child welfare.Northumberland"
"1040",1251,"fatality","Northumberland",2020-01-09,2020,2020-01-01,"Y"," The family was previously known to child welfare.","16.) A 4-year-old female child died on January 9, 2020, as a result of serious physicalneglect. Northumberland County Children and Youth Services indicated the report onJune 10, 2022, naming the victim child’s mother, father, and an unrelated householdmember as the perpetrators. On the date of the incident, the victim child was found bythe mother and the father to have vomited and aspirated on the vomit and emergencyservices were contacted. The child was transported to the hospital and pronounceddead. A toxicology screening revealed the child tested positive for a prescriptionmedication and an over-the-counter medication. It was determined through the criminalinvestigation, that the mother, the father, and the unrelated household member wereresponsible for causing the death of child due to an overdose. There were no otherchildren in the home at the time of the incident and no services were provided. At thetime the report was indicated, the mother, the father, and the male household memberhad been criminally charged. The family was previously known to child welfare.Philadelphia"
"1041",1252,"fatality","Philadelphia",2022-03-06,2022,2022-01-01,"Y"," The family was previously known to childwelfare.","17.) A 17-month-old female child died on March 6, 2022, as a result of serious physicalneglect. Philadelphia Department of Human Services indicated the report on April 28,2022, naming the victim child’s mother as the perpetrator. On the date of the incident,the victim child was found unresponsive by the mother and was transported byemergency medical services to the local children’s hospital where the child waspronounced dead. A toxicology screening revealed the child tested positive for an illegalsubstance. It was determined through the investigation that the mother was the solecaregiver of the child at the time of incident. There were no other children in the homeat the time of the incident and services were provided. At the time the report wasindicated, no criminal charges had been filed. The family was previously known to childwelfare."
"1042",1254,"fatality","Philadelphia",2022-03-13,2022,2022-01-01,"Y"," The family waspreviously known to child welfare.","19.) An 11-month-old male child died on March 13, 2022, as a result of serious physicalneglect. Philadelphia Department of Human Services indicated the report on April 26,2022, naming the victim child’s mother and father as the perpetrators. On the date ofthe incident, the victim child was found unresponsive, and emergency medical serviceswere contacted; the child was transported to the hospital and pronounced dead. Atoxicology screening revealed the child ingested an illegal substance. It was determinedthrough the investigation that the child died as a result of the illegal substance ingestionand the mother and the father admitted to using the illegal substance. As the result ofthe safety assessment completed, the two other children in the home at the time of theincident were placed with a relative and services were provided. At the time the reportwas indicated, the mother and the father had been criminally charged. The family waspreviously known to child welfare."
"1043",1256,"fatality","Philadelphia",2022-02-19,2022,2022-01-01,"Y"," The family waspreviously known to child welfare.","21.) A 13-year-old female died on February 19, 2022, as a result of serious physical neglect.Philadelphia Department of Human Services indicated the report on April 22, 2022,naming the victim child’s mother and an unrelated adult as the perpetrators. On thedate of the incident, the victim child was found unresponsive and emergency serviceswere contacted. The child was transported to the hospital and pronounced dead. Anautopsy revealed the child died as a result of inanition. It was determined through theinvestigation that the mother and the unrelated adult were the sole caregivers of thechild at the time of the incident and failed to seek medical attention for the child. As theresult of the safety assessment completed, the two other children in home at the time ofthe incident were placed in kinship foster care and services were provided. At the timethe report had been indicated, the criminal investigation was pending. The family waspreviously known to child welfare.Schuylkill"
"1044",1257,"fatality","Schuylkill",2021-08-22,2021,2021-07-01,"Y","The family was previously known to child welfare.","22.) A 9-month-old male child died on August 22, 2021, as a result of serious physicalneglect. Schuylkill County Children and Youth Services indicated the report on May 10,2022, naming the victim child’s father as the perpetrator. On the date of the incident, itwas reported the victim child and the father were napping, the father awoke to find thechild unresponsive, and emergency medical services were contacted. The child wastransported to the local hospital and was pronounced dead. An autopsy revealed thechild had ingested illegal substances at the time of the incident and died as a result of6December 28, 20222022 2nd Quarter Fatalities/Near FatalitiesApril 1 to June 30, 2022asphyxiation. It was determined through the investigation that the father was under theinfluence of illegal substances and co-slept with the child at the time of the incident. Asthe result of the safety assessment completed, the three other children in the home atthe time of the incident remained in the care of the mother and services wereprovided. At the time the report was indicated, the father had been criminally charged.The family was previously known to child welfare.Washington"
